time,state,players
271.927,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
272.044,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
272.164,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
272.252,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
272.373,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
272.461,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
272.582,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
272.672,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
272.792,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
272.895,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
272.996,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
273.116,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
273.228,Chase,Player(Clone):0.000:True;Girl(Clone):0.000:False
273.334,Attack,Player(Clone):0.000:True;Girl(Clone):0.000:False
273.437,Attack,Player(Clone):0.000:True;Girl(Clone):0.000:False
273.552,Attack,Player(Clone):0.000:True;Girl(Clone):0.000:False
273.674,Attack,Player(Clone):0.000:True;Girl(Clone):0.000:False
273.786,Attack,Player(Clone):0.000:True;Girl(Clone):0.000:False
273.902,Attack,Player(Clone):0.003:True;Girl(Clone):0.000:False
274.008,Attack,Player(Clone):0.000:True;Girl(Clone):0.000:False
274.094,Attack,Player(Clone):0.000:True;Girl(Clone):0.000:False
274.211,Attack,Player(Clone):0.000:True;Girl(Clone):0.000:False
274.334,Attack,Player(Clone):0.000:True;Girl(Clone):0.000:False
274.437,Attack,Player(Clone):0.000:True;Girl(Clone):0.000:False
274.539,Attack,Player(Clone):0.000:True;Girl(Clone):0.000:False
274.641,Attack,Player(Clone):0.000:True;Girl(Clone):0.000:False
274.735,Attack,Player(Clone):0.000:True;Girl(Clone):0.000:False
274.858,Recovery,Player(Clone):0.000:True;Girl(Clone):0.000:False
274.959,Recovery,Player(Clone):0.000:True;Girl(Clone):0.000:False
275.062,Recovery,Player(Clone):0.000:True;Girl(Clone):0.000:False
275.160,Recovery,Player(Clone):0.000:True;Girl(Clone):0.000:False
275.280,Recovery,Player(Clone):0.000:True;Girl(Clone):0.000:False
